Päivämäärä;Aloitus_pvm;Päiviä;Sample;Brix;V_ml;m_g;h_cm;Density_kgperm3;P_g;L;a;b;;
7.5.2025;3.4.2025;34;1;7,90;15,09;16,20;35,90;1073,32;187,90;5,72;37,4;5,61;;
7.5.2025;3.4.2025;34;2;8,80;20,77;21,20;40,40;1020,95;100,30;14,14;19,61;18,7;;
7.5.2025;3.4.2025;34;3;8,10;22,90;23,40;40,80;1021,65;62,00;18,98;28,03;21,46;;
7.5.2025;3.4.2025;34;4;5,00;14,10;15,60;31,30;1106,31;108,30;11,91;21,38;10,19;;
7.5.2025;3.4.2025;34;5;8,30;20,58;21,70;35,70;1054,41;210,10;23,29;34,15;24,57;;
7.5.2025;3.4.2025;34;6;6,40;15,15;16,10;35,30;1062,76;269,60;13,52;19,01;15,23;;
12.5.2025;3.4.2025;39;7;9,60;18,21;17,60;37,90;966,58;140,10;17,56;25,53;14,42;;
12.5.2025;3.4.2025;39;8;7,80;20,20;18,80;41,40;930,84;96,60;13,81;16,56;17,83;;
12.5.2025;3.4.2025;39;9;6,90;19,00;18,80;39,00;989,46;89,10;11,25;18,4;13,19;;
12.5.2025;3.4.2025;39;10;12,20;23,26;18,80;45,20;808,29;86,60;11,68;14,29;15,04;;
12.5.2025;3.4.2025;39;11;7,20;13,05;18,80;32,50;1440,46;123,70;10,64;26,9;9,51;;
12.5.2025;3.4.2025;39;12;9,50;21,01;20,50;41,00;975,76;158,00;14,6;18,66;16,41;;
20.5.2025;3.4.2025;47;13;9,50;25,60;23,60;40,60;922,05;134,10;35,15;41,01;18,08;;
20.5.2025;3.4.2025;47;14;11,10;13,67;13,20;39,40;965,56;55,10;41,09;47,09;27,52;;
20.5.2025;3.4.2025;47;15;10,20;20,01;19,40;43,10;969,71;80,30;32,19;37,88;17,7;;
20.5.2025;3.4.2025;47;16;9,70;14,30;13,90;35,80;971,94;86,60;30,37;38,24;19,22;;
20.5.2025;3.4.2025;47;17;4,70;13,74;14,40;36,80;1047,91;90,90;33,98;41,17;21,1;;
20.5.2025;3.4.2025;47;18;6,90;25,06;24,90;45,20;993,62;134,80;25,25;34,21;17,01;;
28.5.2025;3.4.2025;55;19;9,10;24,23;23,90;43,10;986,39;124,90;39,56;43,22;22,2;;
28.5.2025;3.4.2025;55;20;8,50;16,58;15,80;37,90;952,69;69,40;32,47;40,69;19,73;;
28.5.2025;3.4.2025;55;21;12,40;20,47;20,40;41,90;996,59;132,70;32,99;39,27;18,8;;
28.5.2025;3.4.2025;55;22;9,00;14,64;15,90;37,60;1086,32;96,30;39,91;44,23;23,09;;
28.5.2025;3.4.2025;55;23;6,70;18,27;18,70;34,20;1023,71;94,10;37,54;42,71;21,97;;
28.5.2025;3.4.2025;55;24;8,20;10,19;11,30;37,20;1109,31;77,30;37,44;34,58;10,58;;
4.6.2025;3.4.2025;62;25;7,00;6,60;6,80;27,20;1030,18;83,10;36,24;42,02;22,73;;
4.6.2025;3.4.2025;62;26;6,40;7,66;8,70;30,30;1136,49;118,70;33,75;44,06;23,13;;
4.6.2025;3.4.2025;62;27;9,40;19,41;20,00;43,30;1030,28;113,10;40,21;43,19;19,54;;
4.6.2025;3.4.2025;62;28;10,00;19,01;20,20;42,60;1062,56;63,40;38,83;42,02;17,65;;
4.6.2025;3.4.2025;62;29;10,60;19,45;19,50;38,40;1002,57;85,20;38,95;43,18;20,56;;
4.6.2025;3.4.2025;62;30;9,60;22,97;23,90;43,10;1040,52;152,50;39,93;42,86;24,31;;
4.6.2025;3.4.2025;62;31;8,20;33,27;33,10;47,30;994,93;110,90;42,84;44,6;20,29;;
4.6.2025;3.4.2025;62;32;6,80;31,60;31,50;52,60;996,86;92,20;42,7;44,23;19,21;;
12.6.2025;3.4.2025;70;33;7,50;14,92;14,70;38,30;985,14;120,90;38,91;44,26;18,63;;
12.6.2025;3.4.2025;70;34;11,40;19,03;18,20;36,90;956,41;111,30;40,16;42,62;17,53;;
12.6.2025;3.4.2025;70;35;5,80;19,96;19,50;38,50;977,04;83,30;39,71;45,11;22,68;;
12.6.2025;3.4.2025;70;36;6,50;24,41;24,90;44,40;1019,97;107,90;35,58;43,23;23,05;;
12.6.2025;3.4.2025;70;37;8,70;25,39;25,20;47,60;992,63;89,80;39,37;43,57;19,62;;
12.6.2025;3.4.2025;70;38;8,30;27,07;26,30;46,90;971,63;85,50;38,25;44,27;18,94;;
18.6.2025;3.4.2025;76;39;7,90;18,81;18,10;44,50;962,17;154,60;41,5;45,83;23,13;;
18.6.2025;3.4.2025;76;40;6,30;21,94;22,10;45,40;1007,47;64,20;43,39;40,64;15,97;;
18.6.2025;3.4.2025;76;41;7,20;17,30;18,30;42,30;1058,03;87,70;44,64;46,17;23,62;;
18.6.2025;3.4.2025;76;42;8,40;22,31;23,50;45,30;1053,44;85,60;41,49;43,71;20,51;;
18.6.2025;3.4.2025;76;43;10,70;25,09;24,50;47,00;976,50;127,30;40,67;46,62;23,31;;
18.6.2025;3.4.2025;76;44;9,10;31,01;30,70;52,70;990,07;162,40;42,67;45,39;21,34;;
25.6.2025;3.4.2025;83;45;8,20;17,47;17,10;40,50;978,96;120,40;40,52;40,23;15,69;;
25.6.2025;3.4.2025;83;46;8,80;23,80;22,40;38,40;941,08;113,30;38,89;45,9;21,62;;
25.6.2025;3.4.2025;83;47;9,30;20,73;21,20;41,50;1022,81;158,50;44,61;45,19;18,46;;
25.6.2025;3.4.2025;83;48;12,80;25,50;23,70;53,50;929,32;59,20;41,03;38,97;16,49;;
25.6.2025;3.4.2025;83;49;8,70;17,49;19,00;42,20;1086,05;164,00;40,83;42,65;18,17;;
25.6.2025;3.4.2025;83;50;11,00;24,95;25,40;48,80;1018,03;155,20;39,43;42,23;18,12;;
30.6.2025;3.4.2025;88;51;9,10;;;;;;;;;;
30.6.2025;3.4.2025;88;52;6,20;;;;;;;;;;
30.6.2025;3.4.2025;88;53;7,40;;;;;;;;;;
30.6.2025;3.4.2025;88;54;8,50;;;;;;;;;;
30.6.2025;3.4.2025;88;55;8,30;;;;;;;;;;
30.6.2025;3.4.2025;88;56;8,90;;;;;;;;;;
3.7.2025;3.4.2025;91;57;8,10;;;;;;;;;;
3.7.2025;3.4.2025;91;58;6,30;;;;;;;;;;
3.7.2025;3.4.2025;91;59;5,90;;;;;;;;;;
3.7.2025;3.4.2025;91;60;6,70;;;;;;;;;;
3.7.2025;3.4.2025;91;61;7,60;;;;;;;;;;
3.7.2025;3.4.2025;91;62;6,10;;;;;;;;;;
7.7.2025;3.4.2025;95;63;8,50;;;;;;;;;;
7.7.2025;3.4.2025;95;64;6,40;;;;;;;;;;
7.7.2025;3.4.2025;95;65;8,10;;;;;;;;;;
7.7.2025;3.4.2025;95;66;6,50;;;;;;;;;;
7.7.2025;3.4.2025;95;67;8,00;;;;;;;;;;
7.7.2025;3.4.2025;95;68;8,00;;;;;;;;;;
10.7.2025;3.4.2025;98;69;8,80;;;;;;;;;;
10.7.2025;3.4.2025;98;70;7,90;;;;;;;;;;
10.7.2025;3.4.2025;98;71;10,00;;;;;;;;;;
10.7.2025;3.4.2025;98;72;7,60;;;;;;;;;;
10.7.2025;3.4.2025;98;73;7,00;;;;;;;;;;
10.7.2025;3.4.2025;98;74;7,10;;;;;;;;;;
14.7.2025;3.4.2025;102;75;5,90;;;;;;;;;;
14.7.2025;3.4.2025;102;76;9,60;;;;;;;;;;
14.7.2025;3.4.2025;102;77;9,10;;;;;;;;;;
14.7.2025;3.4.2025;102;78;10,00;;;;;;;;;;
14.7.2025;3.4.2025;102;79;7,30;;;;;;;;;;
14.7.2025;3.4.2025;102;80;8,60;;;;;;;;;;
18.7.2025;3.4.2025;106;81;6,50;;;;;;;;;;
18.7.2025;3.4.2025;106;82;6,70;;;;;;;;;;
18.7.2025;3.4.2025;106;83;7,30;;;;;;;;;;
18.7.2025;3.4.2025;106;84;8,00;;;;;;;;;;
18.7.2025;3.4.2025;106;85;11,10;;;;;;;;;;
18.7.2025;3.4.2025;106;86;7,60;;;;;;;;;;
21.7.2025;3.4.2025;109;87;6,80;;;;;;;;;;
21.7.2025;3.4.2025;109;88;6,00;;;;;;;;;;
21.7.2025;3.4.2025;109;89;6,70;;;;;;;;;;
21.7.2025;3.4.2025;109;90;7,30;;;;;;;;;;
21.7.2025;3.4.2025;109;91;7,80;;;;;;;;;;
21.7.2025;3.4.2025;109;92;6,90;;;;;;;;;;
25.7.2025;3.4.2025;113;93;8,30;;;;;;;;;;
25.7.2025;3.4.2025;113;94;7,60;;;;;;;;;;
25.7.2025;3.4.2025;113;95;8,70;;;;;;;;;;
25.7.2025;3.4.2025;113;96;5,80;;;;;;;;;;
25.7.2025;3.4.2025;113;97;6,80;;;;;;;;;;
25.7.2025;3.4.2025;113;98;7,10;;;;;;;;;;
28.7.2025;3.4.2025;116;99;8,20;;;;;;;;;;
28.7.2025;3.4.2025;116;100;8,70;;;;;;;;;;
28.7.2025;3.4.2025;116;101;10,20;;;;;;;;;;
28.7.2025;3.4.2025;116;102;7,50;;;;;;;;;;
28.7.2025;3.4.2025;116;103;6,50;;;;;;;;;;
28.7.2025;3.4.2025;116;104;8,90;;;;;;;;;;
1.8.2025;3.4.2025;120;105;6,00;;;;;;;;;;
1.8.2025;3.4.2025;120;106;6,80;;;;;;;;;;
1.8.2025;3.4.2025;120;107;8,20;;;;;;;;;;
1.8.2025;3.4.2025;120;108;6,80;;;;;;;;;;
1.8.2025;3.4.2025;120;109;6,40;;;;;;;;;;
1.8.2025;3.4.2025;120;110;8,00;;;;;;;;;;
5.8.2025;3.4.2025;124;117;9,10;19,52;19,20;44,80;983,51;169,10;43,71;44,87;21,53;;
5.8.2025;3.4.2025;124;118;9,80;16,02;16,50;43,10;1030,00;116,10;35,56;44,02;25,19;;
5.8.2025;3.4.2025;124;119;8,30;16,71;16,30;38,00;975,72;110,80;43,47;46,35;23,99;;
5.8.2025;3.4.2025;124;120;8,80;16,90;17,60;40,80;1041,14;137,50;44,97;47,17;23,93;;
5.8.2025;3.4.2025;124;121;6,60;14,37;15,50;35,50;1078,84;112,60;41,92;45,43;23,23;;
5.8.2025;3.4.2025;124;122;8,60;15,02;15,80;38,50;1052,25;122,40;40,85;45,57;23,02;;
8.8.2025;3.4.2025;127;117;8,70;15,85;15,90;39,40;1002,90;196,30;45,59;45,62;26,64;;
8.8.2025;3.4.2025;127;118;8,80;19,35;19,70;43,50;1018,27;298,60;44,65;46,79;30,11;;
8.8.2025;3.4.2025;127;119;5,60;16,22;16,80;42,90;1035,52;165,90;40,14;45,33;24,97;;
8.8.2025;3.4.2025;127;120;8,20;19,83;20,80;46,60;1048,75;242,80;41,55;45,46;27,48;;
8.8.2025;3.4.2025;127;121;9,60;18,33;18,80;42,00;1025,68;125,40;43,15;46,18;27,37;;
8.8.2025;3.4.2025;127;122;9,30;8,47;9,70;33,20;1144,80;187,60;42;45,41;22,45;;
13.8.2025;3.4.2025;132;123;7,60;8,87;9,00;34,90;1014,48;129,80;38,29;44,01;21,39;;
13.8.2025;3.4.2025;132;124;8,10;16,39;17,20;42,60;1049,11;171,00;38,06;44,25;23,1;;
13.8.2025;3.4.2025;132;125;9,60;19,56;19,90;40,20;1017,32;143,80;33,65;40,56;23,48;;
13.8.2025;3.4.2025;132;126;7,30;19,41;20,10;41,00;1035,61;121,10;34,17;45,71;27,89;;
13.8.2025;3.4.2025;132;127;9,30;18,10;18,90;45,10;1044,35;147,00;35,65;42,96;23,07;;
13.8.2025;3.4.2025;132;128;9,90;17,98;18,40;39,50;1023,28;131,70;45,38;46,31;26,79;;
21.8.2025;3.4.2025;140;129;6,6;13,89;14,1;36,4;1015,15;107,09;41,99;45,12;21,45;;
21.8.2025;3.4.2025;140;130;4,9;14,74;15,2;39;1031,49;109,3;41,44;44,69;21,21;;
21.8.2025;3.4.2025;140;131;6,8;21,97;21,4;44,6;974,174;154,9;41,97;45,41;22,47;;
21.8.2025;3.4.2025;140;132;6,6;13,95;14,7;36,1;1054;152,1;42,25;46,97;24,06;;
21.8.2025;3.4.2025;140;133;8,2;15,42;16,1;38,1;1044,08;86,5;41,47;45,47;22,81;;
21.8.2025;3.4.2025;140;134;7,9;12,58;14;35,5;1112,56;132,7;39,06;44,92;21,96;;
27.8.2025;3.4.2025;146;135;8,7;16,79;16,9;42,8;1006,28;122,3;39,83;43,88;21,08;;
27.8.2025;3.4.2025;146;136;8;17,48;17,8;41,6;1018,47;150,8;40,86;44;20,81;;
27.8.2025;3.4.2025;146;137;6,3;13,75;14,7;39,9;1069,04;124,6;44,26;45,34;22,6;;
27.8.2025;3.4.2025;146;138;8,5;22,22;22,9;48,2;1030,44;66,9;42,06;43,48;21,65;;
27.8.2025;3.4.2025;146;139;9;18,53;19,6;41,7;1057,74;154,7;42,25;44,45;22,04;;
27.8.2025;3.4.2025;146;140;9,5;12,18;14;37,2;1149,01;108,8;42,01;45,64;22;;
3.9.2025;3.4.2025;153;141;6,2;20,23;19,1;45,2;944,332;147,7;37,12;45,42;26,96;;
3.9.2025;3.4.2025;153;142;9,4;23,57;22,8;49,9;967,263;129,5;42,29;46,86;25,52;;
3.9.2025;3.4.2025;153;143;8,9;29,93;28,4;50,2;949,015;126,7;39,12;46,19;27,81;;
3.9.2025;3.4.2025;153;144;9,9;25,84;26,3;47,8;1017,8;131,9;34,75;41,16;23,01;;
3.9.2025;3.4.2025;153;145;7;21,95;21,5;51,6;979,712;108,5;43,69;45,01;24,21;;
3.9.2025;3.4.2025;153;146;6,3;12,86;15;36,1;1166,19;117;40,67;44,33;24;;
10.9.2025;3.4.2025;160;147;7,4;17,92;18,1;42,5;1010,24;120,2;40,11;46;23,24;;
10.9.2025;3.4.2025;160;148;10,1;23,84;23,1;47,8;969,038;180;39,84;43,48;20,94;;
10.9.2025;3.4.2025;160;149;6,7;17,82;18,9;40,3;1060,36;51,5;37,32;39,38;17,04;;
10.9.2025;3.4.2025;160;150;5,1;22,12;21;49,5;949,491;134,4;39,16;44,2;23,58;;
10.9.2025;3.4.2025;160;151;6,8;20,07;21,5;44,5;1071,32;87,1;39,16;43,77;21,61;;
10.9.2025;3.4.2025;160;152;4,4;12,64;13,6;39,9;1075,68;96,2;37,07;41,7;18,41;;
